Link to Local Folder,0<rank<5,Repo Name - Source,Branch
/Volumes/psiqo/autonoms_final_secure_pack/autonoma-x,5,autonoma-x,default
/Volumes/psiqo/autonomax-hub,5,autonomax-hub,main
/Volumes/psiqo/youtube_ai_app_v2.5/fiverr_business/fiverr_business,5,boppins/fiverr_business,main
/Volumes/psiqo/_lazy/business_opportunity_platform/business-dashboard,5,business-dashboard,master
/Volumes/psiqo/_lazy/business-dashboard,5,business-dashboard,master
/Volumes/psiqo/AutonomaX_AI_Integration_Starter_v11_full,5,laziestlarry/AutonomaX_AI_Integration_Starter,main
/Volumes/psiqo/AutonomaX_API_Commander,5,laziestlarry/AutonomaX_API_Commander,main
/Volumes/psiqo/AutonomaX_Studio,5,laziestlarry/AutonomaX-Studio,master
/Volumes/psiqo/autonomax-hub/AutonomaX-Studio,5,laziestlarry/AutonomaX-Studio,main
/Volumes/psiqo/autonoms_final_secure_pack,5,laziestlarry/autonoms,master
/Volumes/psiqo/Commander_Orchestrated_Online,5,laziestlarry/Commander,main
/Volumes/psiqo/youtube_ai_app_v2.5/revenue-accelerator/etsy_commander,5,laziestlarry/etsy-commander,main
/Volumes/psiqo/youtube_ai_app_v2.5/revenue-accelerator/etsy_commander_backup,5,laziestlarry/etsy-commander,main
/Volumes/psiqo/propulse-app,5,laziestlarry/propulse-app,default
/Volumes/psiqo/__ProPulse_Group__,5,laziestlarry/propulse-autonomax,main
/Volumes/psiqo/__ProPulse_Group__/propulse-autonomax,5,laziestlarry/propulse-autonomax,main
/Volumes/psiqo/__ProPulse_Group__/propulse-autonomax-github/propulse-autonomax,5,laziestlarry/propulse-autonomax,master
/Volumes/psiqo/__ProPulse_Group__/propulse-autonomax/propulse-autonomax,5,laziestlarry/propulse-autonomax,main
/Volumes/psiqo/__ProPulse_Group__/ProPulseApp_Final_Base,5,laziestlarry/propulse-autonomax,main
/Volumes/psiqo/__ProPulse_Group__/ProPulseApp_Final_Base copy 2,5,laziestlarry/propulse-autonomax,main
/Volumes/psiqo/__ProPulse_Group__/ProPulseApp_Final_Base copy 2/app,5,laziestlarry/propulse-autonomax,main
/Volumes/psiqo/__ProPulse_Group__/ProPulseApp_Final_Base copy 2/app/services/propulse-autonomax_old,5,laziestlarry/propulse-autonomax,main
/Volumes/psiqo/__ProPulse_Group__/ProPulseApp_Final_Base copy 2/scripts,5,laziestlarry/propulse-autonomax,main
/Volumes/psiqo/__ProPulse_Group__/ProPulseApp_Final_Base/app,5,laziestlarry/propulse-autonomax,main
/Volumes/psiqo/__ProPulse_Group__/ProPulseApp_Final_Base/app/services/propulse-autonomax_old,5,laziestlarry/propulse-autonomax,main
/Volumes/psiqo/__ProPulse_Group__/ProPulseApp_Final_Base/scripts,5,laziestlarry/propulse-autonomax,main
/Volumes/psiqo/__ProPulse_Group__/ProPulseApp_Stable_Deployment,5,laziestlarry/propulse-autonomax,main
/Volumes/psiqo/__ProPulse_Group__/ProPulseApp_Stable_Deployment/app/services/propulse-autonomax,5,laziestlarry/propulse-autonomax,main
/Volumes/psiqo/youtube_ai_app_v2.5,5,laziestlarry/youtube-ai-platform,main
/Volumes/psiqo/youtube_ai_app_v2.5/youtube-ai-platform,5,laziestlarry/youtube-ai-platform,main
/Volumes/psiqo/youtube-ai-platform,5,laziestlarry/youtube-ai-platform,main
/Volumes/psiqo/youtube_ai_app_clean,5,laziestlarry/youtubing_ai,main
/Volumes/psiqo/youtube_ai_platform_backup_edit,5,laziestlarry/youtubing_ai,main
/Volumes/psiqo/_salvage/20250810_worx/mega_all_pack,5,mega_all_pack,default
/Volumes/psiqo/youtube_ai_app_clean copy 4,5,youtube_ai_app_clean copy 4,master
/Volumes/psiqo/youtube_ai_app_clean copy 5,5,youtube_ai_app_clean copy 5,master
/Volumes/psiqo/__bop,4,__bop,default
/Volumes/psiqo/__bop_v01,4,__bop_v01,default
/Volumes/psiqo/__bop_v01/__MACOSX,4,__MACOSX,default
/Volumes/psiqo/__bop/__MACOSX,4,__MACOSX,default
/Volumes/psiqo/bop_final_repo copy/bop/__MACOSX,4,__MACOSX,default
/Volumes/psiqo/bop_final_repo/bop_merged_platform/__MACOSX,4,__MACOSX,default
/Volumes/psiqo/gpt-engineer,4,AntonOsika/gpt-engineer,main
/Volumes/psiqo/bop_final_repo copy/bop,4,bop,default
/Volumes/psiqo/bop_final_repo/bop_merged_platform,4,bop_merged_platform,default
/Volumes/psiqo/_project_/IWS/b4-code/_RichieRiched/RR-04/builder-app,4,builder-app,main
/Volumes/psiqo/__bopper/business-dashboard,4,business-dashboard,master
/Volumes/psiqo/ACE_Framework,4,daveshap/ACE_Framework,main
/Volumes/psiqo/ACE_Framework_0,4,daveshap/ACE_Framework,main
/Volumes/psiqo/OpenAI_Agent_Swarm,4,daveshap/OpenAI_Agent_Swarm,main
/Volumes/psiqo/_project_/__copilot/ecommerce_project,4,ecommerce_project,default
/Volumes/psiqo/_project_/ecommerce_project,4,ecommerce_project,default
/Volumes/psiqo/_project_/app_v01_aida-actionsgpt/gpte,4,gpte,default
/Volumes/psiqo/gpt-eng/gpt-engineer/projects/__gpte/gpte,4,gpte,default
/Volumes/psiqo/_project_/IWS/b4-code/gpte_rr03,4,gpte_rr03,default
/Volumes/psiqo/_project_/IWS/b4-code/gpte_rr034,4,gpte_rr034,default
/Volumes/psiqo/_project_/IWS/b4-code/gpte_rr036,4,gpte_rr036,default
/Volumes/psiqo/_project_/IWS/b4-code/gpte_rr037,4,gpte_rr037,default
/Volumes/psiqo/_project_/IWS/b4-code/gpte_rr038,4,gpte_rr038,default
/Volumes/psiqo/MetaGPT/workspace/workspace/intelliwealth_solutions,4,intelliwealth_solutions,master
/Volumes/psiqo/MetaGPT/workspace/intelliwealth_solutions_app,4,intelliwealth_solutions_app,master
/Volumes/psiqo/MetaGPT/workspace/workspace/intelliwealth_solutions_saas,4,intelliwealth_solutions_saas,master
/Volumes/psiqo/MetaGPT/workspace/intelliwealth_solutions_upgrade,4,intelliwealth_solutions_upgrade,master
/Volumes/psiqo/MetaGPT/workspace/workspace/intelliwealth_solutions_upgrade,4,intelliwealth_solutions_upgrade,master
/Volumes/psiqo/__bopper,4,intelliWealth-Solutions/bop,my-new-feature2
/Volumes/psiqo/__bopper/__MACOSX,4,intelliWealth-Solutions/bop,my-new-feature2
/Volumes/psiqo/bop_final_repo,4,intelliWealth-Solutions/bop,main
/Volumes/psiqo/inference-0/dify,4,langgenius/dify,main
/Volumes/psiqo/MetaGPT/workspace/workspace/modernized_codebase,4,modernized_codebase,master
/Volumes/psiqo/pautobot,4,nrl-ai/pautobot,main
/Volumes/psiqo/erp-app,4,P4Quattro/erp-app,main
/Volumes/psiqo/__bop_final,4,PsikoQuattro/bop_v04,default
/Volumes/psiqo/_salvage/20250810_worx/gpt-pilot,4,Pythagora-io/gpt-pilot,main
/Volumes/psiqo/gpt-pilot,4,Pythagora-io/gpt-pilot,main
/Volumes/psiqo/MetaGPT/workspace/workspace/saas_platform_upgrade,4,saas_platform_upgrade,master
/Volumes/psiqo/__bopper/payoneer,4,VoxFeed/payoneer,master
/Volumes/psiqo/MetaGPT/workspace/20240323015113,3,20240323015113,master
/Volumes/psiqo/MetaGPT/workspace/20240323022145,3,20240323022145,master
/Volumes/psiqo/MetaGPT/workspace/20240323022444,3,20240323022444,master
/Volumes/psiqo/MetaGPT/workspace/20240323040729,3,20240323040729,master
/Volumes/psiqo/MetaGPT/workspace/20240414172212,3,20240414172212,master
/Volumes/psiqo/anse,3,anse-app/anse,main
/Volumes/psiqo/MemGPT,3,cpacker/MemGPT,main
/Volumes/psiqo/demolog,3,demolog,master
/Volumes/psiqo/_depolop/depolop,3,depolop,master
/Volumes/psiqo/_depolop/depolop_22042024,3,depolop_22042024,master
/Volumes/psiqo/_salvage/20250810_worx/automata,3,emrgnt-cmplxty/automata,full-automata
/Volumes/psiqo/friendlyeats-web,3,firebase/friendlyeats-web,master
/Volumes/psiqo/MetaGPT,3,geekan/MetaGPT,main
/Volumes/psiqo/motorhead,3,getmetal/motorhead,main
/Volumes/psiqo/gpt-eng/gpt-engineer,3,gpt-engineer-org/gpt-engineer,main
/Volumes/psiqo/ai-money-machine-starter/hydrogen-quickstart,3,hydrogen-quickstart,main
/Volumes/psiqo/privateGPT,3,imartinez/privateGPT,main
/Volumes/psiqo/Free-Auto-GPT,3,IntelligenzaArtificiale/Free-Auto-GPT,main
/Volumes/psiqo/crewAI,3,joaomdmoura/crewAI,main
/Volumes/psiqo/gpt4all,3,nomic-ai/gpt4all,main
/Volumes/psiqo/swarm,3,openai/swarm,main
/Volumes/psiqo/Dropbox/Organization/dir/project-management-app,3,project-management-app,master
/Volumes/psiqo/AgentGPT,3,reworkd/AgentGPT,main
/Volumes/psiqo/claude-dev,3,saoudrizwan/claude-dev,main
/Volumes/psiqo/awesome-chatgpt,3,sindresorhus/awesome-chatgpt,main
/Volumes/psiqo/SuperAGI_0,3,TransformerOptimus/SuperAGI,main
/Volumes/psiqo/AutoGPT.js,3,zabirauf/AutoGPT.js,main
/Volumes/psiqo/_project_/private-gpt,3,zylon-ai/private-gpt,main
/Volumes/psiqo/private-gpt,3,zylon-ai/private-gpt,main
/Volumes/psiqo/apache-maven-3.9/maven-toolchains-plugin,2,apache/maven-toolchains-plugin,master
/Volumes/psiqo/maven-toolchains-plugin,2,apache/maven-toolchains-plugin,master
/Volumes/psiqo/react-horizon-ui-chakra,2,app-generator/react-horizon-ui-chakra,main
/Volumes/psiqo/8a6578a2-4707-4e80-aed7-ebefc8bce13b,2,appseed-projects/8a6578a2-4707-4e80-aed7-ebefc8bce13b,main
/Volumes/psiqo/astro,2,astro,default
/Volumes/psiqo/Desktop/discoveries/autopack/autopack,2,AutoPackAI/autopack,main
/Volumes/psiqo/serverless-patterns,2,aws-samples/serverless-patterns,main
/Volumes/psiqo/microagents,2,aymenfurter/microagents,main
/Volumes/psiqo/supercharger,2,catid/supercharger,main
/Volumes/psiqo/_salvage/20250810_worx/crewAI,2,crewAIInc/crewAI,main
/Volumes/psiqo/forge/AgentForge,2,DataBassGit/AgentForge,main
/Volumes/psiqo/langchain-experiments,2,daveebbelaar/langchain-experiments,main
/Volumes/psiqo/Vid2Persona,2,deep-diver/Vid2Persona,main
/Volumes/psiqo/cookiecutter-data-science,2,drivendataorg/cookiecutter-data-science,master
/Volumes/psiqo/python-libmagic,2,dveselov/python-libmagic,master
/Volumes/psiqo/chromedriver,2,electron/chromedriver,main
/Volumes/psiqo/electron,2,electron/electron,main
/Volumes/psiqo/fantasy-talking,2,Fantasy-AMAP/fantasy-talking,main
/Volumes/psiqo/llama.cpp,2,ggerganov/llama.cpp,master
/Volumes/psiqo/muld,2,ghomasHudson/muld,master
/Volumes/psiqo/cookbook,2,google-gemini/cookbook,main
/Volumes/psiqo/Hexabot,2,Hexastack/Hexabot,main
/Volumes/psiqo/_TotalCode/Superagent,2,homanp/Superagent,main
/Volumes/psiqo/superagent,2,homanp/superagent,main
/Volumes/psiqo/llama_index,2,jerryjliu/llama_index,main
/Volumes/psiqo/karma,2,karma-runner/karma,master
/Volumes/psiqo/langchain,2,langchain-ai/langchain,master
/Volumes/psiqo/langgraph,2,langchain-ai/langgraph,main
/Volumes/psiqo/webapp-text-generator,2,langgenius/webapp-text-generator,main
/Volumes/psiqo/autogen,2,microsoft/autogen,main
/Volumes/psiqo/jarvis,2,ngaut/jarvis,main
/Volumes/psiqo/raftscope,2,ongardie/raftscope,master
/Volumes/psiqo/text-generation-webui,2,oobabooga/text-generation-webui,main
/Volumes/psiqo/SWELancer-Benchmark,2,openai/SWELancer-Benchmark,main
/Volumes/psiqo/example-typescript,2,pieces-app/example-typescript,main
/Volumes/psiqo/prefect,2,PrefectHQ/prefect,main
/Volumes/psiqo/SWE-agent,2,princeton-nlp/SWE-agent,main
/Volumes/psiqo/rasa,2,RasaHQ/rasa,main
/Volumes/psiqo/LlamaIndexTS,2,run-llama/LlamaIndexTS,main
/Volumes/psiqo/gorilla,2,ShishirPatil/gorilla,main
/Volumes/psiqo/kdmc/app.env/Auto-GPT,2,Significant-Gravitas/Auto-GPT,master
/Volumes/psiqo/Copy-URL,2,sindresorhus/Copy-URL,main
/Volumes/psiqo/text-generation-webui/extensions/webui_tavernai_charas,2,SkinnyDevi/webui_tavernai_charas,master
/Volumes/psiqo/headlessui,2,tailwindlabs/headlessui,main
/Volumes/psiqo/tensorflow,2,tensorflow/tensorflow,master
/Volumes/psiqo/terraform-docs-samples,2,terraform-google-modules/terraform-docs-samples,main
/Volumes/psiqo/SuperAGI_01,2,TransformerOptimus/SuperAGI,main
/Volumes/psiqo/text-generation-webui-stable_diffusion,2,Trojaner/text-generation-webui-stable_diffusion,main
/Volumes/psiqo/text-generation-webui/extensions/stable_diffusion,2,Trojaner/text-generation-webui-stable_diffusion,main
/Volumes/psiqo/text-generation-webui/extensions/text-generation-webui-stable_diffusion,2,Trojaner/text-generation-webui-stable_diffusion,main
/Volumes/psiqo/exllamav2,2,turboderp/exllamav2,master
/Volumes/psiqo/exui,2,turboderp/exui,master
/Volumes/psiqo/unstructured,2,Unstructured-IO/unstructured,main
/Volumes/psiqo/weaviate,2,weaviate/weaviate,richierich
/Volumes/psiqo/inference,2,xorbitsai/inference,main
/Volumes/psiqo/_TotalCode/gpt-researcher,1,assafelovic/gpt-researcher,master
/Volumes/psiqo/Desktop/discoveries/autopack/autopack/autopack.wiki,1,AutoPackAI/autopack.wiki,master
/Volumes/psiqo/beebot,1,AutoPackAI/beebot,main
/Volumes/psiqo/beebot-old,1,AutoPackAI/beebot,main
/Volumes/psiqo/Desktop/discoveries/autopack/autopack/official,1,AutoPackAI/official,main
/Volumes/psiqo/official,1,AutoPackAI/official,main
/Volumes/psiqo/GPT-agents,1,avocardio/GPT-agents,main
/Volumes/psiqo/wolverine,1,biobootloader/wolverine,main
/Volumes/psiqo/raftscope/bootstrap-contextmenu,1,bootstrap-contextmenu/bootstrap-contextmenu,HEAD
/Volumes/psiqo/raftscope/bootstrap-slider,1,bootstrap-slider/bootstrap-slider,HEAD
/Volumes/psiqo/gpt-crawler,1,builderio/gpt-crawler,main
/Volumes/psiqo/ply,1,dabeaz/ply,master
/Volumes/psiqo/awesome-chatgpt-store,1,devisasari/awesome-chatgpt-store,main
/Volumes/psiqo/fiddle,1,electron/fiddle,main
/Volumes/psiqo/text-generation-webui/extensions/dynamic_context,1,elPatrixF/dynamic_context,main
/Volumes/psiqo/text-generation-webui/extensions/alltalk_tts,1,erew123/alltalk_tts,main
/Volumes/psiqo/autopack-demo,1,erik-megarad/autopack-demo,main
/Volumes/psiqo/Desktop/discoveries/autopack/autopack-demo,1,erik-megarad/autopack-demo,main
/Volumes/psiqo/Desktop/discoveries/autopack/autopack/autopack-demo,1,erik-megarad/autopack-demo,main
/Volumes/psiqo/Desktop/discoveries/autopack/autopack/autopack-demo/demo/autopack-demo,1,erik-megarad/autopack-demo,main
/Volumes/psiqo/text-generation-webui/extensions/FPreloader,1,FartyPants/FPreloader,main
/Volumes/psiqo/text-generation-webui/extensions/Twinbook,1,FartyPants/Twinbook,main
/Volumes/psiqo/text-generation-webui/extensions/VirtualLora,1,FartyPants/VirtualLora,main
/Volumes/psiqo/MetaGPT_0,1,geekan/MetaGPT,main
/Volumes/psiqo/llama.cpp_0,1,ggerganov/llama.cpp,master
/Volumes/psiqo/magic-modules,1,GoogleCloudPlatform/magic-modules,main
/Volumes/psiqo/text-generation-webui/extensions/sd_api_pictures_tag_injection,1,GuizzyQC/sd_api_pictures_tag_injection,main
/Volumes/psiqo/text-generation-webui/extensions/oobabooga-jsonformer-plugin,1,hallucinate-games/oobabooga-jsonformer-plugin,main
/Volumes/psiqo/text-generation-webui/extensions/AutoSave,1,ill13/AutoSave,main
/Volumes/psiqo/text-generation-webui/extensions/SpeakLocal,1,ill13/SpeakLocal,main
/Volumes/psiqo/privateGPT-0,1,imartinez/privateGPT,main
/Volumes/psiqo/Free-personal-AI-Assistant-with-plugin,1,IntelligenzaArtificiale/Free-personal-AI-Assistant-with-plugin,main
/Volumes/psiqo/text-generation-webui/extensions/api_advanced,1,janvarev/api_advanced,main
/Volumes/psiqo/text-generation-webui/extensions/multi_translate,1,janvarev/multi_translate,main
/Volumes/psiqo/text-generation-webui/extensions/long_term_memory_with_qdrant,1,jason-brian-anderson/long_term_memory_with_qdrant,main
/Volumes/psiqo/FastChat,1,lm-sys/FastChat,main
/Volumes/psiqo/lmstudio.js/configs,1,lmstudio-ai/configs,main
/Volumes/psiqo/lmstudio.js,1,lmstudio-ai/lmstudio.js,main
/Volumes/psiqo/lmstudio.js/model-catalog,1,lmstudio-ai/model-catalog,main
/Volumes/psiqo/text-generation-webui/extensions/LLM_Web_search,1,mamei16/LLM_Web_search,main
/Volumes/psiqo/OpenManus,1,mannaandpoem/OpenManus,main
/Volumes/psiqo/experts,1,metaskills/experts,main
/Volumes/psiqo/inference-0/llama-cpp-python,1,oobabooga/llama-cpp-python,main
/Volumes/psiqo/pgvector,1,pgvector/pgvector,master
/Volumes/psiqo/pyenv,1,pyenv/pyenv,master
/Volumes/psiqo/pyenv/plugins/pyenv-virtualenv,1,pyenv/pyenv-virtualenv,master
/Volumes/psiqo/pyenv/plugins/pyenv-virtualenvwrapper,1,pyenv/pyenv-virtualenvwrapper,master
/Volumes/psiqo/pypy,1,pypy/pypy,main
/Volumes/psiqo/text-generation-webui/extensions/LucidWebSearch,1,RandomInternetPreson/LucidWebSearch,main
/Volumes/psiqo/text-generation-webui/extensions/text-generation-webui-barktts,1,RandomInternetPreson/text-generation-webui-barktts,main
/Volumes/psiqo/gpt-code-ui,1,ricklamers/gpt-code-ui,main
/Volumes/psiqo/claude-dev copy,1,saoudrizwan/claude-dev,main
/Volumes/psiqo/text-generation-webui/extensions/complex_memory,1,theubie/complex_memory,master
/Volumes/psiqo/text-generation-webui/extensions/more_translators,1,Touch-Night/more_translators,main
/Volumes/psiqo/text-generation-webui/extensions/google_translate_plus,1,Vasyanator/google_translate_plus,main
/Volumes/psiqo/text-generation-webui/extensions/long_term_memory,1,wawawario2/long_term_memory,master
/Volumes/psiqo/inference-0,1,xorbitsai/inference,main
/Volumes/psiqo/libyaml,1,yaml/libyaml,master
